Step,League,CurrentWikipedia,SeasonLink,Clubs,Section,FirstClub
1,National League,https://en.wikipedia.org/wiki/National_League_(division),https://en.wikipedia.org/wiki/2025%E2%80%9326_National_League#National_League,24,Stadiums_and_locations,Aldershot Town
2,National League North,https://en.wikipedia.org/wiki/National_League_North,https://en.wikipedia.org/wiki/2025%E2%80%9326_National_League#National_League_North,24,Stadiums_and_locations_2,AFC Fylde
2,National League South,https://en.wikipedia.org/wiki/National_League_South,https://en.wikipedia.org/wiki/2025%E2%80%9326_National_League#National_League_South,24,Stadiums_and_locations_3,AFC Totton
3,Isthmian League,https://en.wikipedia.org/wiki/Isthmian_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Isthmian_League,22,Stadiums_and_locations,Aveley
3,Northern Premier League,https://en.wikipedia.org/wiki/Northern_Premier_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Northern_Premier_League,21,Stadia_and_locations,Ashton United
3,Southern League Central,https://en.wikipedia.org/wiki/Southern_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Southern_Football_League,22,Stadia_and_locations,AFC Sudbury
3,Southern League South,https://en.wikipedia.org/wiki/Southern_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Southern_Football_League,22,Stadia_and_locations_2,Basingstoke Town
4,Isthmian League North,https://en.wikipedia.org/wiki/Isthmian_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Isthmian_League,22,Stadiums_and_locations_2,Bowers & Pitsea
4,Isthmian League South Central,https://en.wikipedia.org/wiki/Isthmian_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Isthmian_League,22,Stadiums_and_locations_3,AFC Portchester
4,Isthmian League South East,https://en.wikipedia.org/wiki/Isthmian_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Isthmian_League,22,Stadiums_and_locations_4,AFC Croydon Athletic
4,Northern Premier League East,https://en.wikipedia.org/wiki/Northern_Premier_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Northern_Premier_League,22,Stadia_and_locations_2,Ashington
4,Northern Premier League Midlands,https://en.wikipedia.org/wiki/Northern_Premier_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Northern_Premier_League,22,Stadia_and_locations_3,AFC Rushden & Diamonds
4,Northern Premier League West,https://en.wikipedia.org/wiki/Northern_Premier_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Northern_Premier_League,22,Stadia_and_locations_4,Atherton Collieries
4,Southern League Division One Central,https://en.wikipedia.org/wiki/Southern_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Southern_Football_League,22,Stadia_and_locations_3,AFC Dunstable
4,Southern League Division One South,https://en.wikipedia.org/wiki/Southern_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Southern_Football_League,22,Stadia_and_locations_4,Bashley
5,Combined Counties Football League Premier Division North,https://en.wikipedia.org/wiki/Combined_Counties_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Combined_Counties_Football_League,20,Stadia_and_locations,Abingdon United
5,Combined Counties Football League Premier Division South,https://en.wikipedia.org/wiki/Combined_Counties_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Combined_Counties_Football_League,20,Stadia_and_locations_2,Abbey Rangers
5,Eastern Counties Football League Premier Division,https://en.wikipedia.org/wiki/Eastern_Counties_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Eastern_Counties_Football_League,18,Stadia_and_locations,Cornard United
5,Essex Senior Football League Premier Division,https://en.wikipedia.org/wiki/2025–26_Essex_Senior_Football_League,https://en.wikipedia.org/wiki/2025–26_Essex_Senior_Football_League,20,Stadiums_and_locations,Athletic Newham
5,Hellenic Football League Premier Division,https://en.wikipedia.org/wiki/2025–26_Hellenic_Football_League,https://en.wikipedia.org/wiki/2025–26_Hellenic_Football_League,20,Stadia_and_locations,Cinderford Town
5,Midland  Football League Premier Division,https://en.wikipedia.org/wiki/2025–26_Midland_Football_League,https://en.wikipedia.org/wiki/2025–26_Midland_Football_League,18,Stadia_and_locations,1874 Northwich
5,North West Counties Football League Premier Division,https://en.wikipedia.org/wiki/North_West_Counties_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_North_West_Counties_Football_League,24,Stadia_and_locations,Abbey Hey
5,Northern Counties East Football League Premier Division,https://en.wikipedia.org/wiki/Northern_Counties_East_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Northern_Counties_East_Football_League,21,Stadia_and_locations,Albion Sports
5,Northern Football League Division One,https://en.wikipedia.org/wiki/Northern_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Northern_Football_League,20,Stadia_and_locations,Birtley Town
5,Southern Combination Football League Premier Division,https://en.wikipedia.org/wiki/Southern_Combination_Football_League,https://en.wikipedia.org/wiki/2025%E2%80%9326_Southern_Combination_Football_League,20,Stadia_and_locations,AFC Varndeanians
